"State","TotalPop","Men","Women","VotingAgeCitizen","MeanCommute","Employed","Hispanic_","White_","Black_","Native_","Asian_","Pacific_","Poverty_","ChildPoverty_","Professional_","Service_","Office_","Construction_","Production_","Drive_","Carpool_","Transit_","Walk_","OtherTransp_","WorkAtHome_","PrivateWork_","PublicWork_","SelfEmployed_","FamilyWork_","Unemployment_","income_weighted"
"Missouri",6075300,0.490730005102629,0.509269994897371,0.751772093559166,23.6059379395403,0.471975540302537,0.0402365315293072,0.798161407667111,0.114922884466611,0.00374697545800207,0.0183936595723668,0.000948265929254522,0.148386417131664,0.19660296610867,0.348428554968479,0.180489687752045,0.241666913568054,0.0900353891988873,0.139431139203002,0.815345085839382,0.0912669333201653,0.0159957532961335,0.0193942685957895,0.0126248909518872,0.0453766892169934,0.816692673612826,0.124508748539167,0.0569018813885734,0.00190344509736145,0.0597359801162083,28282.0719839539
"Montana",1029862,0.502844070370593,0.497155929629407,0.771058646692469,18.0426861560093,0.483555078253203,0.0355358290722446,0.866117984739703,0.00393450773016191,0.0623598113145256,0.00705822721879242,0.000520458080791407,0.145290339870779,0.176032322777226,0.362663152927285,0.19073332155182,0.222144326133016,0.126990800709221,0.0974994708028843,0.753944703270924,0.098024783903086,0.00738836853869742,0.052181748622631,0.0230691102303027,0.0653310831936706,0.724113522005861,0.182651656241322,0.0890420269900239,0.00419085275502931,0.0496804426224096,28705.9073574906
"Nebraska",1893921,0.49819765449562,0.50180234550438,0.712858139278249,18.3935800860442,0.521255110429632,0.104711864961633,0.798372265791445,0.0460842875706009,0.00691105912020618,0.0221360869856768,0.000718614979188678,0.121121208329175,0.153500594797777,0.364105472192346,0.165562343941484,0.233038231267302,0.100591840947959,0.136671487353485,0.815734658415002,0.0925957312897423,0.00718773380727074,0.0280508004293738,0.0134065782046875,0.043031889925715,0.797624082525089,0.138405456193791,0.0621388114921372,0.00182848175821484,0.0385945348301223,29866.197488174
"Nevada",2887725,0.502156888207845,0.497843111792155,0.673093871473219,24.1262255451139,0.464503372031617,0.281992225714014,0.50464535231021,0.0840287769784173,0.00845648391034465,0.0790289934117688,0.00607640963041841,0.14298972374447,0.195298028725034,0.280287769784173,0.270384818498991,0.255179076955042,0.0896802846531439,0.104474283389173,0.779154871049009,0.104734695997714,0.0357610229505926,0.0205178817235021,0.0214940827121696,0.0383132050316426,0.826457851769126,0.120620211412098,0.0518487736886303,0.00109186297171649,0.0815025668995489,28450.8158797852
"New Hampshire",1331848,0.494899568118884,0.505100431881116,0.776879193421471,27.0529065629111,0.535664730509788,0.0339911161033391,0.909325989151915,0.0121154966632829,0.0014123233281876,0.0247956223232681,0.000179449907196617,0.0844668460665181,0.10109111550267,0.401364119629267,0.160511559877704,0.237690036700885,0.0879297036899106,0.1124400081691,0.806016902829752,0.0809724533129907,0.00889365753449343,0.0294673266018344,0.0134857731512905,0.0611593815510479,0.800573338699311,0.132259086622497,0.0659594788594494,0.0011870723986521,0.0451170103495294,36913.9129420174
"New Jersey",8960161,0.487973486190706,0.512026513809294,0.68551580713784,31.3619684490435,0.48972602166412,0.196923805275374,0.560642939340041,0.126808993722323,0.00103513764987035,0.0936121571922647,0.000235375234886962,0.107439140881509,0.140014560006232,0.409835492911344,0.169307002407658,0.241008839015281,0.0717610989356106,0.108138458672785,0.712666993372106,0.0818288867800478,0.113490483039311,0.0308684185473899,0.01894597652877,0.0421804920692831,0.817421472672199,0.134564769539297,0.0465911271013992,0.00143033144158905,0.0707519652827667,39069.2862431825
"New Mexico",2084828,0.495046114115889,0.504953885884111,0.705894682918687,22.0944982511747,0.421713925561245,0.481619107187739,0.381676569961647,0.0179122690217131,0.0870004623882642,0.0134250883046467,0.000447039276141725,0.206204540614382,0.276076971337683,0.3466909500448,0.212376752422742,0.232411498694377,0.114945213705879,0.0936264286550257,0.800717852983555,0.0984143536061488,0.0107836233972299,0.0218339354613426,0.0194735488970793,0.048799709136677,0.706040498304896,0.226399012292621,0.0656548166083725,0.00192150143800832,0.0790434510664669,25256.8814755941
"New York",19798228,0.485099525068607,0.514900474931393,0.694098532454521,33.1827779147166,0.478205978838106,0.18821926891639,0.559219037178479,0.143591082999953,0.00230369101719608,0.0828034710985246,0.000286237738044031,0.152030777703944,0.191850199926983,0.388513002274749,0.208803232289274,0.233553982709968,0.0730371930255576,0.096095064669424,0.526373774461028,0.0672114696325348,0.283601694050599,0.0639101135717803,0.0186519722876209,0.0402356715964681,0.786408157336101,0.15449665495316,0.0576027309110694,0.00150397298182443,0.0697633646809199,35756.0859504846
"North Carolina",10052564,0.48697705381433,0.51302294618567,0.727154385687074,24.3295498243035,0.454711852617899,0.0909966850248355,0.636395351474509,0.211621234144841,0.010849868749903,0.0265624769959187,0.000516087239036727,0.163651084439751,0.224868700164456,0.357215930184578,0.178516943537987,0.230347600870783,0.0949909893635097,0.1389408712046,0.812805270376791,0.0962661864177139,0.0103071216457811,0.017659574214101,0.0130970566315221,0.0498748379020517,0.793129792558396,0.147601348272938,0.0577011994153929,0.0015695498183349,0.0740266861270418,28123.0830243906
"North Dakota",745475,0.512587276568631,0.487412723431369,0.751909856131996,17.2144184580301,0.537179650558369,0.0331775042757973,0.856846976759784,0.0228364465609175,0.0518635769140481,0.0134840202555418,0.000415842248230994,0.113079580133472,0.121260941010765,0.360332673798585,0.172283443442101,0.216779905429424,0.125505214795935,0.125151078171636,0.806104832489352,0.0891364566216171,0.00515241959824273,0.0378014017908045,0.0118622354874409,0.0498715584023609,0.753542372312955,0.164684261712331,0.0788074717462021,0.00300747845333512,0.0278252121130823,34256.1775713471
"Ohio",11609756,0.48976748520813,0.51023251479187,0.754678479030912,23.4599693573034,0.472721390527071,0.0357022145857329,0.796155233581136,0.121337606061661,0.00146549160895371,0.0201817333628717,0.000264605044240379,0.152289160943606,0.207328560565786,0.348787433603256,0.178542425870104,0.232186361194843,0.0767443346785238,0.163724887930461,0.829059714950082,0.0791412842784982,0.0184542207433128,0.0235855947360134,0.0118805253099204,0.0379039835117982,0.829729324199406,0.120314156473228,0.0485169541892181,0.00143603362551289,0.0673483577088097,29011.0445794899
"Oklahoma",3896251,0.495505808019042,0.504494191980958,0.719302478202765,21.6512094227756,0.448230619639238,0.101350759999805,0.664529056264599,0.0715734176263285,0.0709956827730041,0.0203652177439287,0.00132871316555325,0.164275607500646,0.218790319206848,0.33142012668075,0.177472652557548,0.236597693526418,0.117711358944791,0.136777122418448,0.824217690287407,0.102233146683825,0.00470580565779771,0.0178956643193675,0.0138484404623829,0.0371031024438621,0.76561109641037,0.169796812371688,0.0624017805834378,0.00219082394845712,0.0585986375107764,26460.6002567596
"Oregon",4025127,0.495343873621876,0.504656126378124,0.732588810241267,23.3868929079439,0.468552420830448,0.126580602301493,0.765192750439924,0.0180376917299752,0.00866804948017789,0.0408697663452607,0.00360634583703819,0.150285195970214,0.183917675144163,0.370247199653576,0.185219745861435,0.229673001622061,0.0930524676612688,0.121825969714744,0.721362332169892,0.103379346788313,0.0403659313109872,0.0373881370699608,0.0316044686291886,0.0658630150054893,0.783694278466245,0.138745435858297,0.0756868044163575,0.0018389481872249,0.0695501036364815,30410.0996117638
"Pennsylvania",12790505,0.489438063626104,0.510561936373896,0.76151731303807,26.762765175902,0.476679927805822,0.0683983939648982,0.77254088091127,0.106193852392849,0.00111598408350569,0.0324007535277145,0.000174817178836958,0.133452588463083,0.173892195812441,0.366717498644502,0.180384120877166,0.232933414278795,0.0821914381019358,0.137758438779391,0.755616060507384,0.086834569862566,0.0605972164507969,0.0397611353109201,0.0140947523182236,0.0431056475096175,0.843228707545167,0.104760601711973,0.0505611779988359,0.00144466539827786,0.0674465159897909,31476.3373487746
"Rhode Island",1056138,0.485335249749559,0.514664750250441,0.742793081964668,24.6241453294929,0.498108201769087,0.145723380846064,0.732284985484851,0.0547740920220653,0.00370784878491258,0.0331528644930871,0.000660898481069709,0.137501917363072,0.168093563530523,0.374076115053146,0.200787207732323,0.236139595393784,0.0738795498315561,0.115172449054953,0.79261043537871,0.0885158947031543,0.0280749296020028,0.038916315860238,0.0135077044855881,0.038379454200114,0.828604784602012,0.120876249126535,0.0497037318986723,0.000871098284504487,0.0696802879926676,33314.9765466255
"South Carolina",4893444,0.485702707540947,0.514297292459053,0.750714629614644,24.5049576731128,0.445707767372019,0.0546521018734454,0.637519710044705,0.269992667740757,0.00274673624547456,0.0145474230419312,0.00056585913724567,0.169334113152209,0.240720032762202,0.327586664933736,0.184565921261181,0.243134692049199,0.092064607258201,0.152636466259755,0.826820333491095,0.0948765327650628,0.00601825626286926,0.0189557702101015,0.0149829036564023,0.0383443644190063,0.792915786918171,0.15326485804272,0.052224568218212,0.00158109503245567,0.0742683476095772,26645.4061769175
"South Dakota",855444,0.503349137991499,0.496650862008501,0.736113643908894,17.0207406913837,0.512411098797817,0.0349526094051744,0.826839629478961,0.0167269862200214,0.0831217473031549,0.0135800823899636,0.000386933569000426,0.140732765674901,0.17442988670211,0.352101364905242,0.17181019447211,0.235068572577515,0.112585978743202,0.128446748121443,0.794014570211492,0.0894097100453098,0.00580166556782209,0.0393421427936837,0.0137869924857735,0.057618032273299,0.752293545807791,0.161264793487359,0.0832339697280009,0.00321470487840233,0.0406420525481504,28760.8983451868
"Tennessee",6597381,0.487628803005314,0.512371196994686,0.745274829511893,24.8221213606191,0.454212057784748,0.0515575801973541,0.742554356039162,0.16659595678952,0.00228363346000481,0.0166555486184594,0.000509747731713539,0.168645406412029,0.235125726405675,0.331353002047328,0.173809576860879,0.240756142475325,0.0909004648966006,0.163141555717337,0.833799048440586,0.090964732823525,0.00804319168470034,0.0141007469479177,0.0128978453722773,0.0401715468607922,0.791613672152631,0.138582719415477,0.068126276169286,0.00167005664823663,0.0685446239954915,27276.6845199283
"Texas",27419612,0.49661450351668,0.50338549648332,0.638693829803281,26.1596921394392,0.462773470317523,0.389292051251491,0.428728349620702,0.116663649361632,0.00239605870425883,0.0446037675514883,0.000733854293780671,0.161343712668144,0.219796144453102,0.344507026576452,0.180360539018568,0.238771504133611,0.113346607530406,0.122997035844271,0.803857764289298,0.105293685410282,0.0146762835301973,0.0157329724432279,0.0169147178304347,0.0435240294428674,0.796211376003424,0.134670286362914,0.0674304216996214,0.00169546527500097,0.0600280193607408,28984.9643988675
"Utah",2993941,0.503221005357153,0.496778994642847,0.648757607447842,21.6932523011992,0.471690657898736,0.136693408453941,0.7900052138636,0.0105817048498952,0.00942269737446396,0.0222362431323797,0.00876603780769227,0.112314170519726,0.132177287394775,0.374723149186975,0.153901162380955,0.256605591092142,0.0894079075038553,0.125336805234305,0.762495319714049,0.113799837738953,0.0236808273776938,0.0236935196785775,0.0176516504500256,0.0586891992861583,0.804730286936182,0.146109425670045,0.0474865737167165,0.00169074808087401,0.0437383368610136,26906.6284191973
